category,word,definition,image
Foundational Concepts,Aberration,"A departure from what is normal, usual, or expected, typically one that is unwelcome.",https://images.pexels.com/photos/281260/pexels-photo-281260.jpeg
Foundational Concepts,Anomaly,"Something that deviates from what is standard, normal, or expected.",https://images.pexels.com/photos/326424/pexels-photo-326424.jpeg
Foundational Concepts,Audacious,Showing a willingness to take surprisingly bold risks.,https://images.pexels.com/photos/1156684/pexels-photo-1156684.jpeg
Foundational Concepts,Banal,"So lacking in originality as to be obvious and boring.",https://images.pexels.com/photos/7130560/pexels-photo-7130560.jpeg
Foundational Concepts,Capricious,Given to sudden and unaccountable changes of mood or behavior.,https://images.pexels.com/photos/1102915/pexels-photo-1102915.jpeg
Foundational Concepts,Desiccate,"Remove the moisture from (something); cause to become completely dry.",https://images.pexels.com/photos/159958/pexels-photo-159958.jpeg
Foundational Concepts,Ephemeral,Lasting for a very short time.,https://images.pexels.com/photos/5766/art-leaf-nature-forest.jpg
Foundational Concepts,Fervid,"Intensely enthusiastic or passionate, especially to an excessive degree.",https://images.pexels.com/photos/2608517/pexels-photo-2608517.jpeg
Foundational Concepts,Gullible,"Easily persuaded to believe something; credulous.",https://images.pexels.com/photos/935949/pexels-photo-935949.jpeg
Foundational Concepts,Homogeneous,"Of the same kind; alike.",https://images.pexels.com/photos/531880/pexels-photo-531880.jpeg
Foundational Concepts,Laconic,"(of a person, speech, or style of writing) using very few words.",https://images.pexels.com/photos/4145190/pexels-photo-4145190.jpeg
Foundational Concepts,Laudable,"(of an action, idea, or goal) deserving praise and commendation.",https://images.pexels.com/photos/668298/pexels-photo-668298.jpeg
Foundational Concepts,Loquacious,"Tending to talk a great deal; talkative.",https://images.pexels.com/photos/1516680/pexels-photo-1516680.jpeg
Foundational Concepts,Mitigate,"Make less severe, serious, or painful.",https://images.pexels.com/photos/4195342/pexels-photo-4195342.jpeg
Foundational Concepts,Pedant,A person who is excessively concerned with minor details and rules or with displaying academic learning.,https://images.pexels.com/photos/298217/pexels-photo-298217.jpeg
Foundational Concepts,Pragmatic,Dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Foundational Concepts,Propriety,The state or quality of conforming to conventionally accepted standards of behavior or morals.,https://images.pexels.com/photos/1036622/pexels-photo-1036622.jpeg
Foundational Concepts,Vacillate,"Alternate or waver between different opinions or actions; be indecisive.",https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Foundational Concepts,Volatile,"Liable to change rapidly and unpredictably, especially for the worse.",https://images.pexels.com/photos/1167021/pexels-photo-1167021.jpeg
Foundational Concepts,Zeal,Great energy or enthusiasm in pursuit of a cause or an objective.,https://images.pexels.com/photos/2128249/pexels-photo-2128249.jpeg
Communication & Language,Eloquent,Fluent or persuasive in speaking or writing.,https://images.pexels.com/photos/3184431/pexels-photo-3184431.jpeg
Communication & Language,Equivocal,"Open to more than one interpretation; ambiguous.",https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Communication & Language,Lucid,"Expressed clearly; easy to understand.",https://images.pexels.com/photos/1226398/pexels-photo-1226398.jpeg
Communication & Language,Opaque,"Not able to be seen through; not transparent.",https://images.pexels.com/photos/2775196/pexels-photo-2775196.jpeg
Communication & Language,Prodigal,"Spending money or resources freely and recklessly; wastefully extravagant.",https://images.pexels.com/photos/3760263/pexels-photo-3760263.jpeg
Communication & Language,Reticent,Not revealing one's thoughts or feelings readily.,https://images.pexels.com/photos/415829/pexels-photo-415829.jpeg
Communication & Language,Taciturn,"(of a person) reserved or uncommunicative in speech; saying little.",https://images.pexels.com/photos/1484807/pexels-photo-1484807.jpeg
Communication & Language,Verbose,Using or expressed in more words than are needed.,https://images.pexels.com/photos/669615/pexels-photo-669615.jpeg
Communication & Language,Bombastic,"High-sounding but with little meaning; inflated.",https://images.pexels.com/photos/7078666/pexels-photo-7078666.jpeg
Communication & Language,Cogent,"(of an argument or case) clear, logical, and convincing.",https://images.pexels.com/photos/3184433/pexels-photo-3184433.jpeg
Communication & Language,Grandiloquent,"Pompous or extravagant in language, style, or manner, especially in a way that is intended to impress.",https://images.pexels.com/photos/267507/pexels-photo-267507.jpeg
Communication & Language,Obsequious,Obedient or attentive to an excessive or servile degree.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Communication & Language,Pithy,"(of language or style) concise and forcefully expressive.",https://images.pexels.com/photos/4145190/pexels-photo-4145190.jpeg
Communication & Language,Prolix,"(of speech or writing) using or containing too many words; tediously lengthy.",https://images.pexels.com/photos/1181280/pexels-photo-1181280.jpeg
Positive Qualities,Assiduous,Showing great care and perseverance.,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg
Positive Qualities,Auspicious,"Conducive to success; favorable.",https://images.pexels.com/photos/1661004/pexels-photo-1661004.jpeg
Positive Qualities,Benign,Gentle and kindly.,https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Positive Qualities,Diligent,Having or showing care and conscientiousness in one's work or duties.,https://images.pexels.com/photos/3184339/pexels-photo-3184339.jpeg
Positive Qualities,Erudite,Having or showing great knowledge or learning.,https://images.pexels.com/photos/2041540/pexels-photo-2041540.jpeg
Positive Qualities,Fastidious,Very attentive to and concerned about accuracy and detail.,https://images.pexels.com/photos/210647/pexels-photo-210647.jpeg
Positive Qualities,Frugal,Sparing or economical with regard to money or food.,https://images.pexels.com/photos/4386467/pexels-photo-4386467.jpeg
Positive Qualities,Gregarious,"(of a person) fond of company; sociable.",https://images.pexels.com/photos/7848740/pexels-photo-7848740.jpeg
Positive Qualities,Ingenuous,"(of a person or action) innocent and unsuspecting.",https://images.pexels.com/photos/3777943/pexels-photo-3777943.jpeg
Positive Qualities,Meticulous,"Showing great attention to detail; very careful and precise.",https://images.pexels.com/photos/3153198/pexels-photo-3153198.jpeg
Positive Qualities,Philanthropic,"(of a person or organization) seeking to promote the welfare of others, especially by donating money to good causes.",https://images.pexels.com/photos/6994982/pexels-photo-6994982.jpeg
Positive Qualities,Prudent,Acting with or showing care and thought for the future.,https://images.pexels.com/photos/7788657/pexels-photo-7788657.jpeg
Positive Qualities,Scrupulous,"(of a person or process) diligent, thorough, and extremely attentive to details.",https://images.pexels.com/photos/3184454/pexels-photo-3184454.jpeg
Negative Qualities,Apathetic,"Showing or feeling no interest, enthusiasm, or concern.",https://images.pexels.com/photos/5699456/pexels-photo-5699456.jpeg
Negative Qualities,Belligerent,Hostile and aggressive.,https://images.pexels.com/photos/450597/pexels-photo-450597.jpeg
Negative Qualities,Corrupt,Having or showing a willingness to act dishonestly in return for money or personal gain.,https://images.pexels.com/photos/7129705/pexels-photo-7129705.jpeg
Negative Qualities,Craven,"Contemptibly lacking in courage; cowardly.",https://images.pexels.com/photos/1001965/pexels-photo-1001965.jpeg
Negative Qualities,Dogmatic,Inclined to lay down principles as incontrovertibly true.,https://images.pexels.com/photos/3184430/pexels-photo-3184430.jpeg
Negative Qualities,Dupe,"Deceive; trick.",https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Negative Qualities,Ephemeral,Lasting for a very short time.,https://images.pexels.com/photos/5766/art-leaf-nature-forest.jpg
Negative Qualities,Equivocate,Use ambiguous language so as to conceal the truth or avoid committing oneself.,https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Negative Qualities,Hackneyed,"(of a phrase or idea) lacking significance through having been overused; unoriginal and trite.",https://images.pexels.com/photos/7130560/pexels-photo-7130560.jpeg
Negative Qualities,Iconoclast,A person who attacks cherished beliefs or institutions.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Negative Qualities,Implacable,Unable to be placated.,https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg
Negative Qualities,Impulsive,Acting or done without forethought.,https://images.pexels.com/photos/4050315/pexels-photo-4050315.jpeg
Negative Qualities,Insipid,Lacking flavor.,https://images.pexels.com/photos/1267320/pexels-photo-1267320.jpeg
Negative Qualities,Malevolent,Having or showing a wish to do evil to others.,https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Negative Qualities,Misanthrope,A person who dislikes humankind and avoids human society.,https://images.pexels.com/photos/415829/pexels-photo-415829.jpeg
Negative Qualities,Obdurate,Stubbornly refusing to change one's opinion or course of action.,https://images.pexels.com/photos/3760263/pexels-photo-3760263.jpeg
Negative Qualities,Ostentatious,"Characterized by vulgar or pretentious display; designed to impress or attract notice.",https://images.pexels.com/photos/1222271/pexels-photo-1222271.jpeg
Negative Qualities,Pedestrian,"Lacking inspiration or excitement; dull.",https://images.pexels.com/photos/7130560/pexels-photo-7130560.jpeg
Negative Qualities,Perfunctory,"(of an action or gesture) carried out with a minimum of effort or reflection.",https://images.pexels.com/photos/4050315/pexels-photo-4050315.jpeg
Negative Qualities,Prevaricate,Speak or act in an evasive way.,https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Negative Qualities,Soporific,Tending to induce drowsiness or sleep.,https://images.pexels.com/photos/3771089/pexels-photo-3771089.jpeg
Negative Qualities,Specious,"Superficially plausible, but actually wrong.",https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Negative Qualities,Sporadic,"Occurring at irregular intervals or only in a few places; scattered or isolated.",https://images.pexels.com/photos/2128249/pexels-photo-2128249.jpeg
Negative Qualities,Tirade,"A long, angry speech of criticism or accusation.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Negative Qualities,Torpor,"A state of physical or mental inactivity; lethargy.",https://images.pexels.com/photos/3771089/pexels-photo-3771089.jpeg
Actions & Verbs,Abate,"(of something perceived as hostile, threatening, or negative) become less intense or widespread.",https://images.pexels.com/photos/1102915/pexels-photo-1102915.jpeg
Actions & Verbs,Abscond,"Leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft.",https://images.pexels.com/photos/1156684/pexels-photo-1156684.jpeg
Actions & Verbs,Abstain,Restrain oneself from doing or enjoying something.,https://images.pexels.com/photos/4195342/pexels-photo-4195342.jpeg
Actions & Verbs,Adulterate,"Render (something) poorer in quality by adding another substance, typically an inferior one.",https://images.pexels.com/photos/1267320/pexels-photo-1267320.jpeg
Actions & Verbs,Advocate,Publicly recommend or support.,https://images.pexels.com/photos/3184431/pexels-photo-3184431.jpeg
Actions & Verbs,Aggrandize,Increase the power, status, or wealth of.,https://images.pexels.com/photos/3760263/pexels-photo-3760263.jpeg
Actions & Verbs,Alleviate,"Make (suffering, deficiency, or a problem) less severe.",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Amalgamate,Combine or unite to form one organization or structure.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Ameliorate,"Make (something bad or unsatisfactory) better.",https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg
Actions & Verbs,Anoint,"Consecrate (someone) with oil or an oily substance.",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Appease,Pacify or placate (someone) by acceding to their demands.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Archaic,Very old or old-fashioned.,https://images.pexels.com/photos/210647/pexels-photo-210647.jpeg
Actions & Verbs,Assuage,"Make (an unpleasant feeling) less intense.",https://images.pexels.com/photos/4195342/pexels-photo-4195342.jpeg
Actions & Verbs,Attenuate,"Reduce the force, effect, or value of.",https://images.pexels.com/photos/1102915/pexels-photo-1102915.jpeg
Actions & Verbs,Augment,"Make (something) greater by adding to it; increase.",https://images.pexels.com/photos/4386467/pexels-photo-4386467.jpeg
Actions & Verbs,Aver,State or assert to be the case.,https://images.pexels.com/photos/3184431/pexels-photo-3184431.jpeg
Actions & Verbs,Bolster,"Support or strengthen; prop up.",https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg
Actions & Verbs,Burgeon,"Begin to grow or increase rapidly; flourish.",https://images.pexels.com/photos/1661004/pexels-photo-1661004.jpeg
Actions & Verbs,Calumny,The making of false and defamatory statements about someone in order to damage their reputation; slander.,https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Actions & Verbs,Castigate,"Reprimand (someone) severely.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Caustic,Sarcastic in a scathing and bitter way.,https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Censure,"Express severe disapproval of (someone or something), typically in a formal statement.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Chicanery,"The use of trickery to achieve a political, financial, or legal purpose.",https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Actions & Verbs,Coalesce,Come together to form one mass or whole.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Confound,"Cause surprise or confusion in (someone), especially by acting against their expectations.",https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Actions & Verbs,Convoluted,"(especially of an argument, story, or sentence) extremely complex and difficult to follow.",https://images.pexels.com/photos/1181280/pexels-photo-1181280.jpeg
Actions & Verbs,Corroborate,"Confirm or give support to (a statement, theory, or finding).",https://images.pexels.com/photos/3184433/pexels-photo-3184433.jpeg
Actions & Verbs,Delineate,"Describe or portray (something) precisely.",https://images.pexels.com/photos/4145190/pexels-photo-4145190.jpeg
Actions & Verbs,Denigrate,"Criticize unfairly; disparage.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Deride,"Express contempt for; ridicule.",https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Diatribe,A forceful and bitter verbal attack against someone or something.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Disabuse,"Persuade (someone) that an idea or belief is mistaken.",https://images.pexels.com/photos/3184431/pexels-photo-3184431.jpeg
Actions & Verbs,Dissemble,Conceal one's true motives, feelings, or beliefs.,https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Actions & Verbs,Effrontery,Insolent or impertinent behavior.,https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Embellish,"Make (something) more attractive by the addition of decorative details or features.",https://images.pexels.com/photos/7130560/pexels-photo-7130560.jpeg
Actions & Verbs,Enervate,"Cause (someone) to feel drained of energy or vitality; weaken.",https://images.pexels.com/photos/3771089/pexels-photo-3771089.jpeg
Actions & Verbs,Engender,"Cause or give rise to (a feeling, situation, or condition).",https://images.pexels.com/photos/1661004/pexels-photo-1661004.jpeg
Actions & Verbs,Exacerbate,"Make (a problem, bad situation, or negative feeling) worse.",https://images.pexels.com/photos/1167021/pexels-photo-1167021.jpeg
Actions & Verbs,Exculpate,"Show or declare that (someone) is not guilty of wrongdoing.",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Extol,Praise enthusiastically.,https://images.pexels.com/photos/668298/pexels-photo-668298.jpeg
Actions & Verbs,Fawn,"Give a servile display of exaggerated flattery or affection, typically in order to gain favor or advantage.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Forestall,"Prevent or obstruct (an anticipated event or action) by taking action ahead of time.",https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Gainsay,"Deny or contradict (a fact or statement).",https://images.pexels.com/photos/3184430/pexels-photo-3184430.jpeg
Actions & Verbs,Garrulous,"Excessively talkative, especially on trivial matters.",https://images.pexels.com/photos/1516680/pexels-photo-1516680.jpeg
Actions & Verbs,Goad,"Provoke or annoy (someone) so as to stimulate some action or reaction.",https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Harangue,A lengthy and aggressive speech.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Impede,"Delay or prevent (someone or something) by obstructing them; hinder.",https://images.pexels.com/photos/1167021/pexels-photo-1167021.jpeg
Actions & Verbs,Inchoate,"Just begun and so not fully formed or developed; rudimentary.",https://images.pexels.com/photos/1661004/pexels-photo-1661004.jpeg
Actions & Verbs,Inculpate,Accuse or blame.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Insinuate,Suggest or hint (something bad or reprehensible) in an indirect and unpleasant way.,https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Actions & Verbs,Intransigent,Unwilling or refusing to change one's views or to agree about something.,https://images.pexels.com/photos/3760263/pexels-photo-3760263.jpeg
Actions & Verbs,Inundate,"Overwhelm (someone) with things or people to be dealt with.",https://images.pexels.com/photos/4050315/pexels-photo-4050315.jpeg
Actions & Verbs,Irascible,Having or showing a tendency to be easily angered.,https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Lionize,"Give a lot of public attention and approval to (someone); treat as a celebrity.",https://images.pexels.com/photos/668298/pexels-photo-668298.jpeg
Actions & Verbs,Mollify,"Appease the anger or anxiety of (someone).",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Obfuscate,"Render obscure, unclear, or unintelligible.",https://images.pexels.com/photos/1181280/pexels-photo-1181280.jpeg
Actions & Verbs,Opprobrium,Harsh criticism or censure.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Ostracize,"Exclude (someone) from a society or group.",https://images.pexels.com/photos/415829/pexels-photo-415829.jpeg
Actions & Verbs,Palliate,"Make (a disease or its symptoms) less severe or unpleasant without removing the cause.",https://images.pexels.com/photos/4195342/pexels-photo-4195342.jpeg
Actions & Verbs,Parry,"Ward off (a weapon or attack) with a countermove.",https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Placate,"Make (someone) less angry or hostile.",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Preclude,"Prevent from happening; make impossible.",https://images.pexels.com/photos/1167021/pexels-photo-1167021.jpeg
Actions & Verbs,Proliferate,"Increase rapidly in numbers; multiply.",https://images.pexels.com/photos/1661004/pexels-photo-1661004.jpeg
Actions & Verbs,Propitiate,"Win or regain the favor of (a god, spirit, or person) by doing something that pleases them.",https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg
Actions & Verbs,Querulous,Complaining in a petulant or whining manner.,https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Quibble,Argue or raise objections about a trivial matter.,https://images.pexels.com/photos/3184430/pexels-photo-3184430.jpeg
Actions & Verbs,Relegate,Consign or dismiss to an inferior rank or position.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Repudiate,Refuse to accept or be associated with.,https://images.pexels.com/photos/3184430/pexels-photo-3184430.jpeg
Actions & Verbs,Substantiate,Provide evidence to support or prove the truth of.,https://images.pexels.com/photos/3184433/pexels-photo-3184433.jpeg
Actions & Verbs,Supersede,"Take the place of (a person or thing previously in authority or use); supplant.",https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Supplant,Supersede and replace.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Actions & Verbs,Venerate,"Regard with great respect; revere.",https://images.pexels.com/photos/668298/pexels-photo-668298.jpeg
Actions & Verbs,Vex,"Make (someone) feel annoyed, frustrated, or worried, especially with trivial matters.",https://images.pexels.com/photos/1559486/pexels-photo-1559486.jpeg
Actions & Verbs,Vilify,Speak or write about in an abusively disparaging manner.,https://images.pexels.com/photos/4427618/pexels-photo-4427618.jpeg
Actions & Verbs,Waver,Shake with a quivering motion.,https://images.pexels.com/photos/1102915/pexels-photo-1102915.jpeg